Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Spain,ESP,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.0554421,265.0039641,403.6298249,488.330717,625.8487092,889.5715243,2762.559778,7247.039034,11302.76466,17694.49208,21587.5674,
Estonia,EST,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535.496348,730.7303763,1255.768521,1613.812475,2194.675724,3120.707127,10786.67569,29131.21763,48893.43763,83315.8107,84357.1053,
Ethiopia,ETH,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03423096,0.044375451,0.258824341,0.293544763,0.366993936,0.327265848,0.405391862,0.714286211,1.464874015,1.472179462,5.688757978,
European Union,EUU,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488.0343836,703.8800213,1074.810528,1289.720625,1671.598264,2257.881199,6461.030924,18523.21818,29622.35694,41837.46105,50289.55595,
Fragile and conflict affected situations,FCS,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.445324162,2.157712518,4.094779468,5.186281825,6.917991987,10.989254,117.9220457,269.9322468,359.1557053,413.7567912,456.5673743,
Finland,FIN,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017.460722,1581.026348,2205.22053,2525.477241,3008.873733,3395.181084,7131.362911,22324.1145,33999.12066,57692.63508,81650.50891,
Fiji,FJI,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.11951394,24.32100953,47.39528244,49.67641017,73.86487575,90.94760497,113.4792746,149.2945547,173.1768328,210.1229837,265.4934385,
France,FRA,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.0515722,401.4061904,622.4659729,821.3496981,1188.969121,1898.471534,6688.017871,14819.47613,20380.05464,29313.64287,36226.37775,
Faroe Islands,FRO,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1736.292701,2258.705427,3135.254896,3465.480888,3627.645158,3683.279575,3695.01588,3931.631006,4639.462235,4992.09072,6016.576282,
"Micronesia, Fed. Sts.",FSM,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.1499864,77.33353956,114.825943,103.8500028,120.9932616,137.7587569,154.2439777,161.4914634,186.4346591,210.8759259,182.5753558,
Gabon,GAB,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.462832775,18.40167776,8.001476844,12.10740368,12.20935757,16.42971931,22.41167559,28.08972439,26.42413089,25.31554678,44.03053742,
United Kingdom,GBR,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1315.401967,1811.953149,2500.541011,2832.494803,3251.045342,4386.265118,8696.420463,21195.88532,27261.82097,35988.46777,36452.57226,
Georgia,GEO,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.506971119,14.90772782,43.71292782,63.7496409,83.07760308,118.648927,406.7063626,2360.244249,2182.179813,2776.492738,3497.446488,
