Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Fragile and conflict affected situations,FCS,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386303,,1138764,1548660,2091502,3036834,3983842,5022257,6100125,7699997,7189970,8038562,12645641,12513648,14223888,16834107,
Finland,FIN,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35000,134000,273500,491100,800000,1174200,1429000,1617000,1618000,1565600,1559400,1606000,1647600,1720200,1758500,1729897,1712000,1710000,1737000,1797000,1846000,
Fiji,FJI,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000,8500,11500,13031,12830,23250,23250,13516,10927,12427,12734,12332,12135,19097,21454,23062,
France,FRA,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13464,55000,196601,601500,1655000,3569381,6561035,9471000,12711000,15750000,17830000,19852000,21337000,22749000,23980000,24940000,25969000,26867000,27680000,28480000,29100000,29760000,30627000,
Faroe Islands,FRO,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,114,394,3134,5868,13128,14463,14878,15882,16179,16057,16324,16700,17363,17792,17973,18041,18181,18180,18443,
"Micronesia, Fed. Sts.",FSM,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,26,46,95,116,,116,998,,,2063,3092,3277,3169,3776,,5000,6000,
Gabon,GAB,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,650,1530,1763,1983,2200,3697,4082,4500,5000,8900,10800,11082,15018,14747,21086,24377,44607,
United Kingdom,GBR,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52890,330960,1356481,3113702.33,6123907,9898653,13013000,15606000,17310023,17877223,19151508,20588901,21685668,23039803,23729800,24663109,25473619,26043431,26587110,26871963,27330297,
Georgia,GEO,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430,920,1410,1900,2390,27000,46735,112131,150000,182432,248504,463052,516931,600826,635644,681038,776187,857306,937101,972162,
Ghana,GHA,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,1904,12749,16197,22980,28401,52085,65149,68132,68795,70170,73132,86596,56810,61268,58518,78371,
Gibraltar,GIB,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9297,10433,11284,11979,,13000,15577,16404,17373,18979,19497,21009,
Guinea,GIN,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,600,700,800,900,1000,1100,1127,1213,1250,1000,
"Gambia, The",GMB,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,71,,269,300,300,350,437,500,438,2743,3573,3750,4000,4433,5000,5000,
Guinea-Bissau,GNB,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,1000,1203,1452,1395,1051,886,853,1204,1227,2383,
Equatorial Guinea,GNQ,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,180,180,180,180,1186,1346,1480,3518,3881,3799,3382,1897,1620,1000,1000,
Greece,GRC,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10476,51455,160113,488180,1017475,1507000,1916630,2252653,2464282,2689428,2913191,3156071,3439034,3615029,3778268,3961864,4111278,4257026,
Grenada,GRD,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563,,609,3222,5544,7600,8954,12371,14437,14674,16000,18000,18811,19757,20821,22235,26987,31787,32000,
Greenland,GRL,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,3320,7128,9216,10547,12013,12540,12390,11891,11380,10800,10400,10000,,12016,13192,14404,15649,
Guatemala,GTM,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27106,39000,57000,94500,156000,259000,,280302,352826,433734,459847,506000,531000,,585000,612000,
Guam,GUM,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,,,,,,2700,2700,3000,3000,,,3000,3000,,,,,3000,3000,
Guyana,GUY,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,2362,5084,6823,11193,20540,29981,36900,45225,53687,57203,64889,,83000,95000,
